EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM782,26,26-35,0,3,192,1,1,2,3,1,1083,1,1,59,2,1,2,1,1,3955,Upto 5k,11141,1,Y,0,16,3,1,80,2,6,2,3,5,3,1,3.0
RM798,26,26-35,1,3,1330,1,21,3,3,1,1107,1,1,37,3,1,2,3,0,2377,Upto 5k,19373,1,Y,0,20,4,3,80,1,1,0,2,1,1,0,0.0
RM844,26,26-35,0,3,1384,1,3,4,3,1,1177,1,1,82,4,1,2,4,1,4420,Upto 5k,13421,1,Y,0,22,4,2,80,1,8,2,3,8,7,0,7.0
RM913,26,26-35,0,3,583,1,4,2,1,1,1275,3,1,53,3,1,6,4,2,2875,Upto 5k,9973,1,Y,1,20,4,2,80,0,8,2,2,8,5,2,2.0
RM999,26,26-35,0,3,683,1,2,1,3,1,1407,1,1,36,2,1,6,4,2,3904,Upto 5k,4050,0,Y,0,12,3,4,80,0,5,2,3,4,3,1,1.0
RM1005,26,26-35,0,3,652,1,7,3,4,1,1417,3,1,100,4,1,2,1,2,3578,Upto 5k,23577,0,Y,0,12,3,4,80,0,8,2,3,7,7,0,7.0
RM1119,26,26-35,0,3,474,1,3,3,1,1,1581,1,0,89,3,1,6,4,1,2061,Upto 5k,11133,1,Y,0,21,4,1,80,0,1,5,3,1,0,0,0.0
RM1207,26,26-35,0,0,786,1,7,3,3,1,1693,4,1,76,3,1,2,4,2,2570,Upto 5k,11925,1,Y,0,20,4,3,80,0,7,5,3,7,7,5,7.0
RM1225,26,26-35,0,3,390,1,17,4,3,1,1718,4,1,62,1,1,2,3,1,2305,Upto 5k,6217,1,Y,0,15,3,3,80,3,3,3,4,3,2,0,2.0
RM1298,26,26-35,1,3,920,0,20,2,3,1,1818,4,0,69,3,1,1,2,1,2148,Upto 5k,6889,0,Y,1,11,3,3,80,0,6,3,3,5,1,1,4.0
RM1310,26,26-35,0,3,572,2,10,3,3,1,1836,3,1,46,3,2,7,4,2,4684,Upto 5k,9125,1,Y,0,13,3,1,80,0,5,4,3,5,3,1,2.0
RM1350,26,26-35,0,3,482,1,1,2,1,1,1893,2,0,90,2,1,6,3,1,2933,Upto 5k,14908,1,Y,1,13,3,3,80,1,1,3,2,1,0,1,0.0
RM1362,26,26-35,0,2,1096,1,6,3,4,1,1918,3,1,61,4,1,2,4,1,2544,Upto 5k,7102,0,Y,0,18,3,1,80,1,8,3,3,7,7,7,7.0
RM1387,26,26-35,0,3,157,1,1,3,3,1,1952,3,1,95,3,1,2,1,2,2867,Upto 5k,20006,0,Y,0,13,3,4,80,0,8,6,2,7,7,7,6.0
RM1465,26,26-35,0,3,1167,2,5,3,4,1,2060,4,0,30,2,1,8,3,2,2966,Upto 5k,21378,0,Y,0,18,3,4,80,0,5,2,3,4,2,0,0.0
RM1465,26,26-35,0,3,1167,2,5,3,4,1,2060,4,0,30,2,1,8,3,2,2966,Upto 5k,21378,0,Y,0,18,3,4,80,0,5,2,3,4,2,0,5.0
RM005,27,26-35,0,3,591,1,2,1,3,1,7,1,1,40,3,1,2,2,1,3468,Upto 5k,16632,9,Y,0,12,3,4,80,1,6,3,3,2,2,2,2.0
RM042,27,26-35,0,3,1240,1,2,4,1,1,54,4,0,33,3,1,2,1,0,2341,Upto 5k,19715,1,Y,0,13,3,4,80,1,1,6,3,1,0,0,0.0
RM044,27,26-35,0,2,994,2,8,3,1,1,56,4,1,37,3,3,7,3,2,8726,5k-10k,2975,1,Y,0,15,3,4,80,0,9,0,3,9,8,1,7.0
RM162,27,26-35,0,0,691,1,9,3,3,1,218,4,1,57,3,1,6,2,0,2024,Upto 5k,5970,6,Y,0,18,3,4,80,1,6,1,1,2,2,2,2.0
RM165,27,26-35,0,0,1450,1,3,3,3,1,224,3,1,79,2,1,6,3,0,2566,Upto 5k,25326,1,Y,1,15,3,4,80,1,1,2,2,1,1,0,1.0
RM171,27,26-35,0,3,1157,1,17,3,5,1,233,3,1,51,3,1,6,2,1,3058,Upto 5k,13364,0,Y,1,16,3,4,80,1,6,3,2,5,2,1,1.0
RM192,27,26-35,0,3,894,1,9,3,3,1,260,4,0,99,3,1,6,2,2,2279,Upto 5k,11781,1,Y,0,16,3,4,80,0,7,2,2,7,7,0,3.0
RM201,27,26-35,0,2,472,1,1,1,5,1,274,3,1,60,2,2,4,1,1,4298,Upto 5k,9679,5,Y,0,19,3,3,80,1,6,1,3,2,2,2,0.0
RM213,27,26-35,0,2,1242,2,20,3,1,1,293,4,0,90,3,2,7,3,2,9981,5k-10k,12916,1,Y,0,14,3,4,80,0,7,2,3,7,7,0,7.0
RM319,27,26-35,0,3,1220,1,5,3,1,1,434,3,0,85,3,1,6,2,2,2478,Upto 5k,20938,1,Y,1,12,3,2,80,0,4,2,2,4,3,1,2.0
RM321,27,26-35,0,3,1377,2,2,3,1,1,437,4,1,74,3,2,7,3,2,4478,Upto 5k,5242,1,Y,1,11,3,1,80,0,5,3,3,5,4,0,4.0
RM332,27,26-35,0,0,210,2,1,1,2,1,449,3,1,73,3,2,7,2,1,6349,5k-10k,22107,0,Y,1,13,3,4,80,1,6,0,3,5,4,1,4.0
RM340,27,26-35,0,3,1130,2,8,4,2,1,458,2,0,56,3,2,7,2,1,6214,5k-10k,3415,1,Y,0,18,3,1,80,1,8,3,3,8,7,0,7.0
RM374,27,26-35,0,3,1469,1,1,2,3,1,497,4,1,82,3,1,2,2,0,3816,Upto 5k,17881,1,Y,0,11,3,2,80,1,5,2,3,5,2,0,4.0
RM486,27,26-35,0,3,798,1,6,4,3,1,655,1,0,66,2,1,6,3,0,2187,Upto 5k,5013,0,Y,0,12,3,3,80,2,6,5,2,5,3,0,3.0
RM496,27,26-35,1,3,1420,2,2,1,2,1,667,3,1,85,3,1,8,1,0,3041,Upto 5k,16346,0,Y,0,11,3,2,80,1,5,3,3,4,3,0,2.0
RM513,27,26-35,0,3,1115,1,3,4,3,1,700,1,1,54,2,1,6,4,2,2045,Upto 5k,15174,0,Y,0,13,3,4,80,0,5,0,3,4,2,1,1.0
RM522,27,26-35,0,2,1410,2,3,1,3,1,714,4,0,71,4,2,7,4,0,4647,Upto 5k,16673,1,Y,1,20,4,2,80,2,6,3,3,6,5,0,4.0
RM531,27,26-35,0,3,608,1,1,2,1,1,725,3,0,68,3,3,4,1,1,7412,5k-10k,6009,1,Y,0,11,3,4,80,0,9,3,3,9,7,0,7.0
RM538,27,26-35,0,2,294,1,10,2,1,1,733,4,1,32,3,3,4,1,0,8793,5k-10k,4809,1,Y,0,21,4,3,80,2,9,4,2,9,7,1,7.0
RM555,27,26-35,0,3,975,1,7,3,3,1,764,4,0,55,2,2,0,1,2,6811,5k-10k,23398,8,Y,0,19,3,1,80,0,9,2,1,7,6,0,7.0
RM577,27,26-35,0,2,829,2,8,1,2,1,800,3,1,84,3,2,7,4,1,4342,Upto 5k,24008,0,Y,0,19,3,2,80,1,5,3,3,4,2,1,1.0
RM611,27,26-35,0,3,269,1,5,1,5,1,844,3,1,42,2,3,5,4,0,12808,10k-15k,8842,1,Y,1,16,3,2,80,1,9,3,3,9,8,0,8.0
RM616,27,26-35,0,0,443,1,3,3,3,1,850,4,1,50,3,1,6,4,1,1706,Upto 5k,16571,1,Y,0,11,3,3,80,3,0,6,2,0,0,0,0.0
RM671,27,26-35,0,3,618,1,4,3,1,1,933,2,0,76,3,1,6,3,2,2318,Upto 5k,17808,1,Y,0,19,3,3,80,0,1,2,3,1,1,0,0.0
RM718,27,26-35,0,3,1134,1,16,4,5,1,1001,3,0,37,3,1,2,2,1,2811,Upto 5k,12086,9,Y,0,14,3,2,80,1,4,2,3,2,2,2,2.0
RM740,27,26-35,0,3,1055,1,2,4,1,1,1027,1,0,47,3,2,4,4,1,4227,Upto 5k,4658,0,Y,0,18,3,2,80,1,4,2,3,3,2,2,2.0
RM787,27,26-35,0,0,1277,1,8,5,1,1,1094,1,1,87,1,1,2,3,1,4621,Upto 5k,5869,1,Y,0,19,3,4,80,3,3,4,3,3,2,1,2.0
RM834,27,26-35,0,3,199,1,6,3,1,1,1162,4,1,55,2,1,6,3,1,2539,Upto 5k,7950,1,Y,0,13,3,3,80,1,4,0,3,4,2,2,2.0
RM890,27,26-35,0,3,1103,1,14,3,1,1,1244,1,1,42,3,1,6,1,1,2235,Upto 5k,14377,1,Y,1,14,3,4,80,2,9,3,2,9,7,6,8.0
RM903,27,26-35,0,3,1167,1,4,2,1,1,1259,1,1,76,3,1,6,3,0,2517,Upto 5k,3208,1,Y,0,11,3,2,80,3,5,2,3,5,3,0,3.0
RM971,27,26-35,0,3,1291,2,11,3,3,1,1364,3,0,98,4,1,8,4,1,2534,Upto 5k,6527,8,Y,0,14,3,2,80,1,5,4,3,1,0,0,0.0
RM975,27,26-35,0,2,793,2,2,1,1,1,1371,4,1,43,1,2,7,4,2,5071,5k-10k,20392,3,Y,0,20,4,2,80,0,8,3,3,6,2,0,0.0
RM997,27,26-35,0,3,205,2,10,3,2,1,1403,4,0,98,2,2,7,4,1,5769,5k-10k,7100,1,Y,1,11,3,4,80,0,6,3,3,6,2,4,4.0
RM998,27,26-35,1,3,135,1,17,4,1,1,1405,4,0,51,3,1,6,3,2,2394,Upto 5k,25681,1,Y,1,13,3,4,80,0,8,2,3,8,2,7,7.0
RM1018,27,26-35,0,3,1377,1,11,1,1,1,1434,2,1,91,3,1,2,1,1,2099,Upto 5k,7679,0,Y,0,14,3,2,80,0,6,3,4,5,0,1,4.0
RM1150,27,26-35,0,3,1302,1,19,3,4,1,1619,4,1,67,2,1,2,1,0,4066,Upto 5k,16290,1,Y,0,11,3,1,80,2,7,3,3,7,7,0,7.0
RM1170,27,26-35,0,3,486,1,8,3,3,1,1647,2,0,86,4,1,6,3,1,3517,Upto 5k,22490,7,Y,0,17,3,1,80,0,5,0,3,3,2,0,2.0
RM1171,27,26-35,0,2,591,1,2,3,3,1,1648,4,1,87,3,1,6,4,2,2580,Upto 5k,6297,2,Y,0,13,3,3,80,0,6,0,2,4,2,1,2.0
RM1249,27,26-35,0,3,1054,1,8,3,3,1,1751,3,0,67,3,1,6,4,2,3445,Upto 5k,6152,1,Y,0,11,3,3,80,0,6,5,2,6,2,1,4.0
RM1318,27,26-35,0,2,1297,1,5,2,1,1,1850,4,0,53,3,1,2,4,2,2379,Upto 5k,19826,0,Y,1,14,3,3,80,0,6,3,2,5,4,0,2.0
RM1329,27,26-35,0,3,728,2,23,1,3,1,1864,2,0,36,2,2,8,3,1,3540,Upto 5k,7018,1,Y,0,21,4,4,80,1,9,5,3,9,8,5,8.0
RM1335,27,26-35,0,2,1131,1,15,3,1,1,1870,4,0,77,2,1,6,1,1,4774,Upto 5k,23844,0,Y,0,19,3,4,80,1,8,2,2,7,6,7,3.0
RM1351,27,26-35,0,3,511,2,2,2,3,1,1898,1,0,89,4,2,7,3,2,6500,5k-10k,26997,0,Y,0,14,3,2,80,0,9,5,2,8,7,0,7.0
RM1368,27,26-35,0,1,1354,1,2,4,5,1,1931,2,1,41,3,1,6,2,1,2226,Upto 5k,6073,1,Y,0,11,3,3,80,1,6,3,2,5,3,1,2.0
RM1380,27,26-35,1,2,1337,0,22,3,0,1,1944,1,0,58,2,1,1,2,1,2863,Upto 5k,19555,1,Y,0,12,3,1,80,0,1,2,3,1,0,0,0.0
RM1394,27,26-35,0,3,954,2,9,3,2,1,1965,4,1,44,3,2,7,4,2,4105,Upto 5k,5099,1,Y,0,14,3,1,80,0,7,5,3,7,7,0,7.0
RM1468,27,26-35,0,3,155,1,4,3,1,1,2064,2,1,87,4,2,4,2,1,6142,5k-10k,5174,1,Y,1,20,4,2,80,1,6,0,3,6,2,0,3.0
RM1468,27,26-35,0,3,155,1,4,3,1,1,2064,2,1,87,4,2,4,2,1,6142,5k-10k,5174,1,Y,1,20,4,2,80,1,6,0,3,6,2,0,3.0
RM015,28,26-35,1,3,103,1,24,3,1,1,19,3,1,50,2,1,2,3,2,2028,Upto 5k,12947,5,Y,1,14,3,2,80,0,6,4,3,4,2,0,3.0
RM052,28,26-35,1,3,1434,1,5,4,5,1,65,3,1,50,3,1,2,3,2,3441,Upto 5k,11179,1,Y,1,13,3,3,80,0,2,3,2,2,2,2,2.0
RM098,28,26-35,0,0,120,2,4,3,3,1,129,2,1,43,3,2,7,3,1,4221,Upto 5k,8863,1,Y,0,15,3,2,80,0,5,3,4,5,4,0,4.0
RM163,28,26-35,0,3,440,1,21,3,3,1,221,3,1,42,3,1,6,4,1,2713,Upto 5k,6672,1,Y,0,11,3,3,80,1,5,2,1,5,2,0,2.0
RM265,28,26-35,1,3,529,1,2,4,1,1,364,1,1,79,3,1,2,3,2,3485,Upto 5k,14935,2,Y,0,11,3,3,80,0,5,5,1,0,0,0,0.0
RM273,28,26-35,0,3,1158,1,9,3,3,1,377,4,1,94,3,1,6,4,1,2070,Upto 5k,2613,1,Y,0,23,4,4,80,1,5,3,2,5,2,0,4.0
RM290,28,26-35,0,3,1117,1,8,2,1,1,395,4,0,66,3,1,6,4,2,3310,Upto 5k,4488,1,Y,0,21,4,4,80,0,5,3,3,5,3,0,2.0
RM303,28,26-35,0,3,1476,1,16,2,3,1,412,2,1,68,4,2,0,1,2,5661,5k-10k,4824,0,Y,0,19,3,3,80,0,9,2,3,8,3,0,7.0
RM324,28,26-35,1,3,1157,1,2,4,3,1,440,1,1,84,1,1,6,4,1,3464,Upto 5k,24737,5,Y,1,13,3,4,80,0,5,4,2,3,2,2,2.0
RM375,28,26-35,0,3,304,2,9,4,1,1,498,2,1,92,3,2,7,4,2,5253,5k-10k,20750,1,Y,0,16,3,4,80,0,7,1,3,7,5,0,7.0
RM405,28,26-35,0,3,1300,1,17,2,3,1,536,3,1,79,3,2,2,1,0,4558,Upto 5k,13535,1,Y,0,12,3,4,80,1,10,2,3,10,0,1,
RM541,28,26-35,1,3,654,1,1,2,1,1,741,1,0,67,1,1,6,2,2,2216,Upto 5k,3872,7,Y,1,13,3,4,80,0,10,4,3,7,7,3,7.0
RM599,28,26-35,1,3,890,1,2,4,3,1,828,3,1,46,3,1,6,3,2,4382,Upto 5k,16374,6,Y,0,17,3,4,80,0,5,3,2,2,2,2,1.0
RM613,28,26-35,0,3,760,2,2,4,2,1,846,2,0,81,3,2,7,2,1,4779,Upto 5k,3698,1,Y,1,20,4,1,80,0,8,2,3,8,7,7,5.0
RM630,28,26-35,0,3,1169,0,8,2,3,1,869,2,1,63,2,1,1,4,0,4936,Upto 5k,23965,1,Y,0,13,3,4,80,1,6,6,3,5,1,0,4.0
RM660,28,26-35,0,3,821,2,5,4,3,1,916,1,1,98,3,2,7,4,2,4908,Upto 5k,24252,1,Y,0,14,3,2,80,0,4,3,3,4,2,0,2.0
RM669,28,26-35,0,3,995,1,9,3,3,1,930,3,0,77,3,1,6,3,0,2377,Upto 5k,9834,5,Y,0,18,3,2,80,1,6,2,3,2,2,2,2.0
RM765,28,26-35,0,3,1144,2,10,1,3,1,1056,4,1,74,3,1,8,2,1,1052,Upto 5k,23384,1,Y,0,22,4,2,80,0,1,5,3,1,0,0,0.0
RM781,28,26-35,1,0,1366,1,24,2,5,1,1082,2,1,72,2,3,0,1,2,8722,5k-10k,12355,1,Y,0,12,3,1,80,0,10,2,2,10,7,1,9.0
RM789,28,26-35,0,3,857,1,10,3,4,1,1097,3,0,59,3,2,6,3,2,3660,Upto 5k,7909,3,Y,0,13,3,4,80,0,10,4,4,8,7,1,7.0
RM794,28,26-35,0,3,895,1,15,2,1,1,1102,1,1,50,3,1,2,3,0,2207,Upto 5k,22482,1,Y,0,16,3,4,80,1,4,5,2,4,2,2,2.0
RM801,28,26-35,1,2,1009,1,1,3,3,1,1111,1,1,45,2,1,2,2,0,2596,Upto 5k,7160,1,Y,0,15,3,1,80,2,1,2,3,1,0,0,0.0
RM810,28,26-35,0,3,950,1,3,3,3,1,1121,4,0,93,3,3,4,2,0,7655,5k-10k,8039,0,Y,0,17,3,2,80,3,10,3,2,9,7,1,7.0
RM820,28,26-35,0,3,1451,1,2,1,1,1,1136,1,1,67,2,1,6,2,1,3201,Upto 5k,19911,0,Y,0,17,3,1,80,0,6,2,1,5,3,0,4.0
RM828,28,26-35,0,2,773,1,6,3,1,1,1154,3,1,39,2,1,6,3,0,2703,Upto 5k,22088,1,Y,1,14,3,4,80,1,3,2,3,3,1,0,2.0
RM843,28,26-35,1,3,1485,1,12,1,1,1,1175,3,0,79,3,1,2,4,1,2515,Upto 5k,22955,1,Y,1,11,3,4,80,0,1,4,2,1,1,0,0.0
RM869,28,26-35,0,3,1179,1,19,4,3,1,1216,4,1,78,2,1,2,1,1,3196,Upto 5k,12449,1,Y,0,12,3,3,80,3,6,2,3,6,5,3,3.0
RM922,28,26-35,0,2,791,1,1,4,3,1,1286,4,1,44,3,1,2,3,2,2154,Upto 5k,6842,0,Y,1,11,3,3,80,0,5,2,2,4,2,0,2.0
RM930,28,26-35,0,2,193,1,2,3,1,1,1296,4,1,52,2,1,2,4,1,3867,Upto 5k,14222,1,Y,1,12,3,2,80,1,2,2,3,2,2,2,2.0
RM934,28,26-35,0,3,640,1,1,3,5,1,1301,4,1,84,3,1,6,1,2,2080,Upto 5k,4732,2,Y,0,11,3,2,80,0,5,2,2,3,2,1,2.0
RM945,28,26-35,0,0,1476,1,1,3,1,1,1315,3,0,55,1,2,2,4,1,6674,5k-10k,16392,0,Y,0,11,3,1,80,3,10,6,3,9,8,7,5.0
RM985,28,26-35,0,3,736,2,26,3,1,1,1387,3,1,48,2,2,7,1,1,4724,Upto 5k,24232,1,Y,0,11,3,3,80,1,5,0,3,5,3,0,4.0
RM1042,28,26-35,0,3,866,2,5,3,3,1,1469,4,1,84,3,2,7,1,2,8463,5k-10k,23490,0,Y,0,18,3,4,80,0,6,4,3,5,4,1,3.0
RM1057,28,26-35,1,2,1496,2,1,3,5,1,1486,1,1,92,3,1,8,3,1,2909,Upto 5k,15747,3,Y,0,15,3,4,80,1,5,3,4,3,2,1,2.0
RM1069,28,26-35,1,2,289,1,2,2,3,1,1504,3,1,38,2,1,2,1,2,2561,Upto 5k,5355,7,Y,0,11,3,3,80,0,8,2,2,0,0,0,0.0
RM1070,28,26-35,0,3,1423,1,1,3,1,1,1506,1,1,72,2,1,6,3,0,1563,Upto 5k,12530,1,Y,0,14,3,4,80,1,1,2,1,1,0,0,0.0
RM1071,28,26-35,0,2,467,2,7,3,1,1,1507,3,1,55,3,2,7,1,2,4898,Upto 5k,11827,0,Y,0,14,3,4,80,0,5,5,3,4,2,1,3.0
RM1074,28,26-35,0,3,1083,1,29,1,1,1,1514,3,1,96,1,2,4,2,1,6549,5k-10k,3173,1,Y,0,14,3,2,80,2,8,2,2,8,6,1,7.0
RM1137,28,26-35,1,3,329,1,24,3,3,1,1604,3,1,51,3,1,2,2,1,2408,Upto 5k,7324,1,Y,1,17,3,3,80,3,1,3,3,1,1,0,0.0
RM1152,28,26-35,0,3,580,1,27,3,3,1,1622,2,0,39,1,2,4,1,0,4877,Upto 5k,20460,0,Y,0,21,4,2,80,1,6,5,2,5,3,0,0.0
RM1284,28,26-35,0,3,1181,1,1,3,1,1,1799,3,1,82,3,1,6,4,1,2044,Upto 5k,5531,1,Y,0,11,3,3,80,1,5,6,4,5,3,0,3.0
RM1308,28,26-35,0,3,1217,1,1,3,3,1,1834,3,0,67,3,1,6,1,1,3591,Upto 5k,12719,1,Y,0,25,4,3,80,1,3,3,3,3,2,1,2.0
RM1324,28,26-35,0,0,280,0,1,2,1,1,1858,3,1,43,3,1,1,4,0,2706,Upto 5k,10494,1,Y,0,15,3,2,80,1,3,2,3,3,2,2,2.0
RM1338,28,26-35,0,3,1172,2,3,3,3,1,1875,2,0,78,3,1,8,2,1,2856,Upto 5k,3692,1,Y,0,19,3,4,80,1,1,3,3,1,0,0,0.0
RM1365,28,26-35,0,2,783,2,1,2,1,1,1927,3,1,42,2,2,7,4,1,6834,5k-10k,19255,1,Y,1,12,3,3,80,1,7,2,3,7,7,0,7.0
RM1370,28,26-35,1,3,1475,2,13,2,2,1,1933,4,0,84,3,2,7,3,2,9854,5k-10k,23352,3,Y,1,11,3,4,80,0,6,0,3,2,0,2,2.0
RM1382,28,26-35,0,0,1103,1,16,3,3,1,1947,3,1,49,3,1,6,3,2,2144,Upto 5k,2122,1,Y,0,14,3,3,80,0,5,3,2,5,3,1,4.0
RM1391,28,26-35,1,3,1404,1,17,3,5,1,1960,3,1,32,2,1,2,4,0,2367,Upto 5k,18779,5,Y,0,12,3,1,80,1,6,2,2,4,1,0,3.0
RM012,29,26-35,0,3,153,1,15,2,1,1,15,4,0,49,2,2,2,3,2,4193,Upto 5k,12682,0,Y,1,12,3,4,80,0,10,3,3,9,5,0,8.0
RM016,29,26-35,0,3,1389,1,21,4,1,1,20,2,0,51,4,3,4,1,0,9980,5k-10k,10195,1,Y,0,11,3,3,80,1,10,1,3,10,9,8,8.0
RM072,29,26-35,0,3,1328,1,2,3,1,1,94,3,1,76,3,1,6,2,1,2703,Upto 5k,4956,0,Y,0,23,4,4,80,1,6,3,3,5,4,0,
RM156,29,26-35,0,0,1496,1,1,1,5,1,208,4,1,41,3,2,4,3,1,4319,Upto 5k,26283,1,Y,0,13,3,1,80,1,10,1,3,10,7,0,9.0
RM206,29,26-35,1,3,121,2,27,3,2,1,283,2,0,35,3,3,7,4,1,7639,5k-10k,24525,1,Y,0,22,4,4,80,3,10,3,2,10,4,1,
RM218,29,26-35,1,3,992,1,1,3,5,1,300,3,1,85,3,1,6,3,2,2058,Upto 5k,19757,0,Y,0,14,3,4,80,0,7,1,2,6,2,1,5.0
RM228,29,26-35,0,2,1413,2,1,1,3,1,312,2,0,42,3,3,7,4,1,7918,5k-10k,6599,1,Y,0,14,3,4,80,1,11,5,3,11,10,4,1.0
RM230,29,26-35,1,3,896,1,18,1,3,1,315,3,1,86,2,1,6,4,2,2389,Upto 5k,14961,1,Y,1,13,3,3,80,0,4,3,2,4,3,0,1.0
RM253,29,26-35,0,3,665,1,15,3,1,1,346,3,1,60,3,1,6,4,2,2340,Upto 5k,22673,1,Y,0,19,3,1,80,0,6,1,3,6,5,1,
RM255,29,26-35,0,3,1247,2,20,2,2,1,349,4,1,45,3,2,7,4,0,6931,5k-10k,10732,2,Y,0,14,3,4,80,1,10,2,3,3,2,0,
RM266,29,26-35,0,3,1210,2,2,3,3,1,366,1,1,78,2,2,7,2,1,6644,5k-10k,3687,2,Y,0,19,3,2,80,2,10,2,3,0,0,0,0.0
RM283,29,26-35,0,2,442,2,2,2,1,1,388,2,1,44,3,2,7,4,2,4554,Upto 5k,20260,1,Y,0,18,3,1,80,0,10,3,2,10,7,0,9.0
RM337,29,26-35,1,3,318,1,8,4,4,1,454,2,1,77,1,1,2,1,1,2119,Upto 5k,4759,1,Y,1,11,3,4,80,0,7,4,2,7,7,0,7.0
RM338,29,26-35,0,3,738,1,9,5,4,1,455,2,1,30,2,1,2,4,2,3983,Upto 5k,7621,0,Y,0,17,3,3,80,0,4,2,3,3,2,2,2.0
RM344,29,26-35,0,3,144,2,10,1,2,1,463,4,0,39,2,2,7,2,0,8268,5k-10k,11866,1,Y,1,14,3,1,80,2,7,2,3,7,7,1,7.0
RM350,29,26-35,0,0,746,2,2,3,1,1,469,4,1,61,3,2,7,3,1,4649,Upto 5k,16928,1,Y,0,14,3,1,80,1,4,3,2,4,3,0,2.0
RM372,29,26-35,0,3,1283,1,23,3,1,1,495,4,1,54,3,1,6,4,2,2201,Upto 5k,18168,9,Y,0,16,3,4,80,0,6,4,3,3,2,1,2.0
RM421,29,26-35,0,3,986,1,3,4,3,1,564,2,1,93,2,3,5,3,1,11935,10k-15k,21526,1,Y,0,18,3,3,80,0,10,2,3,10,2,0,7.0
RM422,29,26-35,1,3,408,1,25,5,5,1,565,3,0,71,2,1,6,2,1,2546,Upto 5k,18300,5,Y,0,16,3,2,80,0,6,2,4,2,2,1,1.0
RM455,29,26-35,0,3,232,1,19,3,5,1,611,4,1,34,3,2,4,4,0,4262,Upto 5k,22645,4,Y,0,12,3,2,80,2,8,2,4,3,2,1,2.0
RM508,29,26-35,0,3,1176,2,3,2,3,1,690,2,0,62,3,2,7,3,1,5561,5k-10k,3487,1,Y,0,14,3,1,80,1,6,5,2,6,0,1,2.0
RM520,29,26-35,0,2,806,1,1,4,1,1,710,2,1,76,1,1,6,4,0,2720,Upto 5k,18959,1,Y,0,18,3,4,80,1,10,5,3,10,7,2,8.0
RM547,29,26-35,0,3,1396,2,10,3,1,1,749,3,1,99,3,1,8,3,2,2642,Upto 5k,2755,1,Y,0,11,3,3,80,0,1,6,3,1,0,0,0.0
RM556,29,26-35,0,3,1090,2,10,3,2,1,766,4,1,83,3,1,8,2,0,2297,Upto 5k,17967,1,Y,0,14,3,4,80,2,2,2,3,2,2,2,2.0
RM573,29,26-35,0,3,657,1,27,3,3,1,793,2,0,66,3,2,0,3,1,4335,Upto 5k,25549,4,Y,0,12,3,1,80,1,11,3,2,8,7,1,1.0
RM590,29,26-35,1,3,805,1,1,2,1,1,816,2,0,36,2,1,2,1,1,2319,Upto 5k,6689,1,Y,1,11,3,4,80,1,1,1,3,1,0,0,0.0
RM595,29,26-35,0,3,1252,1,23,2,1,1,824,3,1,81,4,1,6,3,1,2700,Upto 5k,23779,1,Y,0,24,4,3,80,1,10,3,3,10,7,0,7.0
RM646,29,26-35,1,3,341,2,1,3,3,1,896,2,0,48,2,1,8,3,0,2800,Upto 5k,23522,6,Y,1,19,3,3,80,3,5,3,3,3,2,0,2.0
RM658,29,26-35,0,3,1086,1,7,1,3,1,912,1,0,62,2,1,2,4,0,2532,Upto 5k,6054,6,Y,0,14,3,3,80,3,8,5,3,4,3,0,3.0
RM698,29,26-35,0,2,1404,2,20,3,5,1,974,3,0,84,3,1,8,4,1,2157,Upto 5k,18203,1,Y,0,15,3,2,80,1,3,5,3,3,1,0,2.0
RM712,29,26-35,1,3,906,1,10,3,1,1,994,4,0,92,2,1,6,1,2,2404,Upto 5k,11479,6,Y,1,20,4,3,80,0,3,5,3,0,0,0,0.0
RM809,29,26-35,0,3,1107,1,28,4,1,1,1120,3,0,93,3,1,6,4,0,2514,Upto 5k,26968,4,Y,0,22,4,1,80,1,11,1,3,7,5,1,7.0
RM824,29,26-35,0,2,490,1,10,3,1,1,1143,4,0,61,3,1,6,2,0,3291,Upto 5k,17940,0,Y,0,14,3,4,80,2,8,2,2,7,5,1,1.0
RM826,29,26-35,0,3,718,1,8,1,3,1,1150,2,1,79,2,2,4,4,1,5056,5k-10k,17689,1,Y,1,15,3,3,80,1,10,2,2,10,7,1,2.0
RM837,29,26-35,1,3,408,2,23,1,1,1,1165,4,0,45,2,3,7,1,1,7336,5k-10k,11162,1,Y,0,13,3,1,80,1,11,3,1,11,8,3,10.0
RM853,29,26-35,0,3,1401,1,6,1,3,1,1192,2,0,54,3,1,2,4,1,3131,Upto 5k,26342,1,Y,0,13,3,1,80,1,10,5,3,10,8,0,8.0
RM860,29,26-35,0,3,942,1,15,1,1,1,1202,2,0,69,1,1,6,4,1,2168,Upto 5k,26933,0,Y,1,18,3,1,80,1,6,2,2,5,4,1,3.0
